Epoch,Train Loss,Train Grad,Train Grad Var,Val Loss,FID_inf,MIFID_inf,KID_inf,IS_inf
0,126815.766,-0.005486986,5.119064,126157.67,331.8937,941.79034,0.13565059,614.4911
1,126115.95,0.006280251,2.7447293,125124.82,290.94058,728.4194,0.105983235,296.96185
2,125349.52,0.0012679923,1.2500119,125258.22,278.37494,619.86145,0.09862291,161.89748
3,124730.375,0.00077906495,1.0569527,124498.49,275.08786,601.727,0.09720681,131.53413
4,124351.25,0.00063722994,0.9050316,124334.49,277.3093,597.525,0.09578791,158.97395
5,124086.89,0.00037565138,0.87128925,124154.93,272.37204,587.15497,0.09400534,144.20847
6,124065.85,0.00042326777,0.85944474,123956.375,269.40503,563.5902,0.09049081,184.54807
7,124085.73,0.00074370805,0.81983346,124166.32,267.6257,562.22235,0.09101878,106.01984
8,123979.08,0.00031246143,0.803775,123871.25,261.6765,561.658,0.086196795,104.28589
9,123983.65,0.00025677923,0.79392403,123926.16,259.43927,540.3261,0.08570621,108.14045
10,123917.586,0.0004077878,0.75588155,123993.305,260.68906,532.5787,0.084709615,133.4556
11,123970.99,7.642648e-05,0.76601106,124027.695,258.90683,519.4037,0.08318405,116.497856
12,124018.2,0.0003364793,0.7537624,123967.67,255.06891,504.814,0.07911081,187.27907
13,123913.27,7.379018e-05,0.7595493,123718.54,254.9071,509.91016,0.07824117,182.26448
14,123853.45,0.0004004038,0.7523423,123805.8,253.66785,499.54977,0.07779668,157.15193
15,123904.21,0.000117104224,0.7436034,123720.28,255.27031,506.1667,0.07734299,176.29817
16,123920.15,0.00024388339,0.74325097,123852.0,253.54236,502.3847,0.077499375,147.34633
17,123884.48,0.00013406454,0.7138641,123911.79,251.78323,496.33948,0.07589463,164.77292
18,123888.0,0.00024354868,0.72932225,123840.11,254.73648,503.16647,0.076339036,170.97029
19,123850.33,2.4536392e-05,0.7193859,123889.95,249.23558,484.7751,0.07415248,207.755
20,123865.62,0.00027253944,0.7169448,123939.73,251.59045,488.98132,0.07411882,215.53424
21,123905.33,-3.85494e-05,0.7235614,123791.586,251.36636,484.50177,0.074143276,169.15445
22,123896.99,0.00023450877,0.7195975,123945.86,251.03447,490.64313,0.07413473,152.33578
23,123903.414,5.6552144e-05,0.7176701,123933.555,251.70288,484.47678,0.07466247,172.46432
24,123958.93,-7.4222124e-05,0.71143,123783.73,251.52538,485.45798,0.07389965,180.42531
25,123885.52,0.00019080858,0.70766807,123893.08,249.99571,477.75912,0.073515706,147.3656
26,123897.5,0.00014666967,0.7179058,123799.41,247.39796,473.22574,0.07244935,178.71373
27,123901.4,0.00010925774,0.7150406,123917.28,248.83322,472.94873,0.074338324,139.87802
28,123832.43,9.1391805e-05,0.72510403,124052.91,249.25194,482.88416,0.07324848,171.25768
29,123824.016,0.000108879714,0.7267531,123785.29,251.2379,494.4197,0.074253835,196.32216
30,123863.83,0.00010233582,0.71686995,123913.61,252.89731,505.48917,0.07475407,226.4115
31,123969.79,9.281291e-05,0.7270036,123910.96,249.91814,480.02362,0.07318541,181.90099
32,123913.266,0.00015924992,0.72122365,124002.36,252.36417,492.3028,0.07502138,163.13844
33,123961.54,-3.0682564e-05,0.7281274,123856.93,251.70569,488.82666,0.074737415,176.18951
34,123915.99,0.00021653959,0.72633183,123958.664,248.84389,477.03085,0.07375118,151.82051
35,123830.6,7.5238015e-05,0.73509634,123801.234,248.67941,467.39706,0.07424472,166.28421
36,123865.2,0.00011465538,0.7345206,123699.88,250.92145,486.32526,0.07240074,230.0659
37,123871.664,8.7230466e-05,0.74651396,123839.35,249.2649,469.11975,0.072899744,186.93512
38,123826.18,0.00012484529,0.72958004,123721.73,250.29446,481.7151,0.073404744,202.09787
39,123890.625,0.00012135478,0.74523944,124022.32,251.08171,482.3453,0.07515944,176.83073
40,123956.414,-7.494355e-05,0.7479653,123833.695,251.41025,475.16177,0.07337851,239.77461
41,123999.43,0.0003073777,0.7519644,124082.234,251.80373,461.7183,0.07426686,204.6596
42,123999.73,-8.625025e-06,0.7668694,123814.805,253.30823,475.3064,0.07474559,242.18872
43,123846.35,0.00010048631,0.7657426,123870.086,250.93048,472.21793,0.07408656,184.76059
44,123825.914,4.2826916e-05,0.7838289,123815.805,249.00995,474.36905,0.07321938,247.43788
45,123779.375,0.00020204415,0.79535484,123666.8,249.83719,482.5235,0.07320534,217.19333
46,123767.625,-2.619247e-05,0.784978,123654.57,249.7355,470.48898,0.07346881,229.51936
47,123794.305,0.00032584192,0.77727723,123746.66,250.48969,468.82248,0.072747745,237.9818
48,123776.65,-0.00010917487,0.7717151,123720.07,250.5189,471.05368,0.07230542,280.73462
49,123596.39,-1.9339519e-05,0.77733624,123657.95,249.8155,472.31964,0.07265031,208.96425
