Epoch,Train Loss,Train Grad,Train Grad Var,Val Loss,FID_inf,MIFID_inf,KID_inf,IS_inf
0,123360.73,-0.0048928238,5.135173,122566.9,313.9391,835.3834,0.12282692,797.5255
1,122523.24,0.0055923904,2.301439,122090.055,286.97778,707.93,0.1035019,254.95062
2,121884.08,0.0008548947,0.94834584,121668.56,284.4846,636.4356,0.10294622,138.02293
3,121747.43,0.0004472269,0.8977356,121563.32,281.42532,608.3826,0.10294334,93.23783
4,121647.96,0.001188639,0.845138,121581.18,284.0914,616.1149,0.10436398,72.91234
5,121564.27,0.00014684946,0.74601763,121433.06,276.0213,559.08673,0.10085202,42.68446
6,121500.08,5.6693425e-05,0.689501,121395.195,274.27277,549.4647,0.09966986,34.931213
7,121457.23,0.0006286444,0.6752446,121441.984,276.22144,568.04724,0.10222735,33.028996
8,121451.12,0.00044840583,0.6598267,121394.4,270.7957,532.5786,0.099875174,25.707348
9,121417.23,0.00018149932,0.64676034,121398.484,265.02936,518.9773,0.09460734,21.319994
10,121421.69,0.000171293,0.6341822,121381.766,264.0719,512.3794,0.095187545,18.167706
11,121416.27,0.00016923416,0.6186013,121399.03,263.4094,497.78195,0.09409258,17.532785
12,121414.75,0.00016452806,0.6107406,121297.23,260.35532,499.67075,0.09203732,19.07006
13,121406.83,0.0002599003,0.6186336,121331.74,259.89978,493.40976,0.09269399,17.69269
14,121355.08,0.00028008522,0.60510904,121324.96,260.83682,505.66586,0.092551515,19.621473
15,121374.69,8.02489e-05,0.60506403,121302.92,258.6239,486.32727,0.092368655,18.371893
16,121377.18,9.789281e-05,0.6003778,121307.875,261.85718,490.36566,0.09240673,20.585155
17,121330.5,0.00022210297,0.59974647,121291.38,259.07623,484.1048,0.092059545,18.423267
18,121299.875,-3.767293e-06,0.5955558,121287.52,261.841,494.8658,0.09150465,23.614452
19,121279.64,0.0001699862,0.5884126,121180.61,258.24683,493.3948,0.0901391,23.252045
20,121266.4,-3.7377702e-06,0.5941891,121218.66,258.81976,483.76038,0.09049366,22.573463
21,121253.52,0.00012496956,0.59410995,121210.28,258.72086,478.59473,0.08892739,23.312792
22,121240.43,0.0001976736,0.58270353,121231.44,256.73495,472.30917,0.0892045,22.78477
23,121242.016,-0.00015741582,0.6029278,121218.65,257.73737,478.1279,0.08775898,24.7736
24,121264.9,0.00017436946,0.5939655,121235.71,256.7303,472.04126,0.088336036,22.839144
25,121243.58,0.00015432193,0.6014633,121227.81,256.71805,473.79233,0.08729051,24.263147
26,121227.31,-0.00012161425,0.5907266,121216.4,254.81496,477.97623,0.08671653,26.42334
27,121209.44,0.0002713386,0.5959167,121212.29,255.64243,465.87894,0.08701786,23.341759
28,121209.02,2.4014618e-05,0.59990615,121209.52,253.80054,465.11438,0.08611882,23.983181
29,121200.35,5.8250036e-05,0.58928454,121194.23,252.55325,455.98746,0.08580166,24.258694
30,121191.5,1.5289803e-05,0.6034684,121202.88,254.40492,466.41553,0.08546023,27.641777
31,121179.44,0.00022028503,0.61655504,121194.734,252.31938,457.602,0.08351579,30.205559
32,121185.125,-8.3174375e-05,0.62150127,121181.0,253.52249,463.8351,0.08294416,36.603157
33,121154.68,0.000246315,0.6299812,121256.52,254.5662,462.01425,0.08515395,31.820179
34,121174.94,2.9233843e-05,0.6466059,121209.086,254.34103,464.693,0.08499508,32.841503
35,121154.9,2.8826484e-05,0.62919915,121212.56,255.14864,463.7694,0.08355539,35.22317
36,121157.45,-0.00012009172,0.6364369,121161.74,251.13998,463.3168,0.0823108,34.045486
37,121155.875,0.00034207202,0.65854913,121202.86,251.43524,449.23273,0.083376445,30.718462
38,121130.52,-9.036717e-06,0.64968485,121189.17,252.88786,461.277,0.0830838,33.48333
39,121111.45,0.00014729564,0.6584565,121190.87,255.66951,463.90442,0.084560215,35.5112
40,121139.23,1.5407311e-05,0.66215944,121170.87,251.97113,457.0088,0.08275501,32.03287
41,121107.836,-8.197045e-05,0.6599048,121184.69,250.95996,458.32468,0.080964945,45.74713
42,121106.65,0.00016878746,0.6695518,121134.98,252.8415,465.01245,0.08242141,39.909977
43,121105.37,0.00025177596,0.67159474,121183.04,252.50755,470.29816,0.08311397,35.98444
44,121102.266,-0.00011262745,0.6725968,121175.18,250.80664,469.5948,0.0817326,45.02948
45,121092.35,2.5520241e-05,0.69018346,121197.375,248.97957,456.15707,0.08085272,40.84586
46,121085.7,0.00018092532,0.6894113,121202.445,252.52267,461.5245,0.0819778,43.150692
47,121087.125,7.06492e-06,0.6878595,121153.56,251.54657,458.1213,0.08253864,42.36122
48,121079.77,0.00017942852,0.6983917,121196.516,251.3603,463.7688,0.081753924,42.540894
49,121064.586,-1.9628787e-05,0.69369423,121164.7,250.45604,458.47336,0.082158804,36.95733
