Epoch,Train Loss,Train Grad,Train Grad Var,Val Loss,FID_inf,MIFID_inf,KID_inf,IS_inf
0,123274.15,-0.00807284,5.041058,122552.74,312.76196,826.1534,0.11833085,1343.9792
1,122173.805,0.0020022541,1.714941,121914.7,289.12943,672.77765,0.10214022,437.75388
2,121669.2,0.0012960397,1.2325183,121723.94,278.81912,633.7025,0.090674035,699.516
3,121593.23,0.0012519642,0.931987,121517.99,273.39294,598.49054,0.09391886,275.05685
4,121501.48,0.0002753895,0.7832467,121474.19,271.86566,580.5896,0.088995114,393.28473
5,121430.43,0.0005628198,0.784614,121365.02,273.03943,596.05005,0.09222802,239.54755
6,121406.89,0.00045188732,0.7521531,121272.3,267.2696,556.6016,0.086782485,292.27267
7,121350.555,0.00037166756,0.72231776,121288.63,268.39218,563.9678,0.089592636,215.18306
8,121331.7,0.00021805908,0.6733549,121254.69,265.9987,553.43933,0.08709242,190.76248
9,121340.52,0.00054091105,0.67655367,121237.77,263.87042,537.1416,0.08621486,153.42133
10,121302.93,0.00026152047,0.66633487,121213.42,258.14133,535.19934,0.08045434,166.90927
11,121289.93,0.0002687078,0.63622963,121236.664,261.0429,514.8345,0.0823782,181.05244
12,121294.055,0.00039030585,0.6205524,121260.305,260.11685,520.5272,0.08215001,130.28893
13,121345.73,8.5488426e-07,0.6119816,121267.39,254.11989,504.62454,0.07893619,113.58816
14,121329.836,0.0004860123,0.598504,121323.49,255.956,501.07227,0.079795904,92.77056
15,121349.2,0.0003120564,0.5947424,121281.766,252.65205,494.87668,0.07815428,89.24096
16,121318.08,0.00036201818,0.6127407,121292.04,252.57603,487.83267,0.07783188,103.188126
17,121283.49,0.00018779421,0.60647786,121234.52,248.2303,483.51688,0.07666781,75.90125
18,121275.664,0.0001627549,0.59329265,121242.35,250.22737,487.3988,0.07712382,109.04503
19,121267.62,6.0035334e-05,0.60115594,121246.88,250.98741,478.48743,0.07738254,103.75452
20,121267.48,0.00017257364,0.5891804,121223.66,248.94742,475.83408,0.076500416,90.477554
21,121244.65,6.2836334e-05,0.58028793,121236.02,249.30965,482.2024,0.075586975,108.53783
22,121261.48,0.00029214026,0.57549506,121244.055,249.8061,480.37204,0.075490266,77.44664
23,121280.15,0.0002698321,0.5701425,121284.9,247.66331,474.47623,0.07638618,75.19695
24,121276.49,-6.200439e-05,0.5781089,121242.02,242.83347,457.81003,0.07383081,68.771996
25,121268.055,0.00019149795,0.5802795,121383.695,247.42374,472.36697,0.07515605,77.12297
26,121276.37,0.00015209809,0.57369286,121266.625,247.26517,476.25885,0.07576348,76.526276
27,121244.23,0.0002470364,0.57156795,121244.875,244.47502,459.3595,0.07454402,58.980995
28,121208.62,4.023034e-05,0.5789006,121269.82,246.7187,462.0853,0.074238144,66.21753
29,121208.73,7.593874e-05,0.58738065,121163.305,244.98279,453.81738,0.07417483,67.235634
30,121136.71,-3.8147555e-05,0.56658363,121130.74,244.32393,459.7148,0.07261126,90.45266
31,121124.336,0.00020261994,0.56883526,121124.41,242.20993,448.875,0.0721625,72.795815
32,121099.95,0.00014460036,0.57498723,121196.48,244.33601,453.03186,0.072134025,64.638596
33,121098.2,-4.0614115e-05,0.5680585,121131.86,244.14262,460.97983,0.07247934,76.43077
34,121113.74,0.0005660509,0.5927993,121102.02,239.75688,434.8218,0.071251325,60.685436
35,121099.48,0.000107200256,0.59365195,121123.89,240.57594,456.8933,0.070863605,71.77853
36,121124.5,5.2398816e-05,0.60554075,121116.73,240.40782,465.71988,0.07163106,67.62012
37,121096.375,0.00032435526,0.61341465,121119.76,241.94946,447.07373,0.07278417,66.87529
38,121085.99,-0.00020413927,0.58350164,121117.805,241.78854,451.9199,0.0714014,84.80932
39,121085.836,0.00021821317,0.57444423,121120.91,245.90889,460.9178,0.07263312,76.842636
40,121083.625,0.00017491942,0.5969162,121126.51,241.59384,448.0552,0.071993805,67.16678
41,121082.24,-0.00022356573,0.59487975,121139.28,243.67888,458.45554,0.07062951,119.06452
42,121074.46,0.00023231981,0.5946507,121117.805,243.53406,453.5729,0.07117789,96.524414
43,121068.02,4.694313e-05,0.59810185,121124.12,240.16368,450.68124,0.07092838,83.07147
44,121050.52,0.00041447728,0.6051368,121128.55,240.78926,448.66357,0.07084084,76.25744
45,121085.02,1.19127335e-05,0.6045177,121110.65,243.58157,455.46448,0.07117228,91.02917
46,121066.45,-0.000119316275,0.5948881,121135.28,243.12563,454.72818,0.070351966,110.95783
47,121069.164,0.0003181448,0.61729074,121134.734,244.86444,452.30472,0.07123063,111.171776
48,121096.555,0.00018824877,0.62118846,121163.766,242.23807,448.64578,0.07075176,87.87671
49,121085.25,0.000108117376,0.6081632,121141.336,243.82585,456.19043,0.072205484,101.175385
