Epoch,Train Loss,Train Grad,Train Grad Var,Val Loss,FID_inf,MIFID_inf,KID_inf,IS_inf
0,122814.64,-0.0072684973,4.351713,121948.555,319.35498,879.52576,0.12411847,1105.0604
1,121738.85,0.0047485237,1.7806889,121325.02,282.43585,677.48315,0.103976056,199.05807
2,121180.18,0.000570485,0.75378805,120960.35,272.75522,594.45044,0.095359154,150.54353
3,121032.35,0.0004986059,0.70970404,120909.01,269.58875,580.1906,0.09134245,149.55104
4,120964.18,0.00055016315,0.63326895,120964.766,263.27127,544.57056,0.08648161,164.60582
5,120981.1,0.00036318562,0.59893584,120876.33,263.91306,552.52185,0.083962,195.86664
6,120937.95,0.00027237725,0.5712863,120877.86,260.63968,542.72345,0.082853414,201.79512
7,120903.4,0.00045858556,0.5477012,120808.79,259.84607,524.90533,0.08100787,204.63692
8,120917.83,0.00019964893,0.55398124,120850.92,258.54797,527.39966,0.080851234,194.7509
9,120933.81,0.00038514772,0.5508995,120865.49,259.89474,516.66125,0.08037867,186.29443
10,120937.914,0.0002981834,0.5388879,120851.48,255.5166,513.2206,0.078722,191.59065
11,120921.2,0.00016986644,0.531259,120840.375,254.74799,509.4516,0.07787982,171.07806
12,120913.1,9.502601e-05,0.52057964,120874.266,254.16653,506.33456,0.07667555,221.82039
13,120915.14,0.0003331599,0.5195551,120874.36,251.75604,496.02036,0.0755056,195.96674
14,120891.35,0.00019613454,0.5066222,120873.555,252.06161,483.06635,0.07750583,113.80825
15,120886.23,0.00021836288,0.5138309,120766.64,251.96143,498.5618,0.076863766,138.86357
16,120833.9,2.9209628e-05,0.509883,120823.83,250.4777,479.48676,0.075451754,128.84552
17,120798.79,0.0003525538,0.49928227,120797.49,251.0446,479.05286,0.07744684,105.690346
18,120768.68,-7.989463e-05,0.51299846,120771.76,249.7677,476.014,0.07486637,142.3827
19,120796.79,0.00023418442,0.50153846,120816.375,251.31256,475.16687,0.075114764,131.5662
20,120844.0,0.00013050926,0.5032978,120781.87,248.69804,498.49222,0.07338166,129.93036
21,120803.1,0.00012490792,0.50525004,120781.43,250.50238,479.87827,0.075635046,109.08758
22,120774.375,0.00021061907,0.49681988,120749.79,246.29153,466.96164,0.07513901,80.081215
23,120772.2,-2.7938653e-05,0.5013941,120720.92,243.97218,453.6143,0.0730536,74.374084
24,120748.43,0.00012695591,0.49482033,120783.33,246.2757,463.5383,0.07303421,70.31136
25,120759.68,5.909358e-05,0.49191114,120735.414,245.68141,458.2009,0.07373187,58.03806
26,120737.1,0.00013042342,0.5022761,120718.89,242.4305,446.27505,0.07271787,62.43676
27,120731.54,4.717596e-05,0.49658296,120729.086,245.6445,454.91525,0.07356103,79.14085
28,120751.06,0.00017235959,0.49784014,120745.51,244.10448,447.07507,0.07313338,62.13085
29,120720.02,0.00010865494,0.5015974,120707.95,246.53531,457.12186,0.07299228,72.19802
30,120686.45,0.00020390081,0.5031312,120726.71,245.35358,450.18997,0.07409688,75.518074
31,120689.39,-4.528393e-06,0.4983736,120719.555,242.00375,443.776,0.07321911,58.705406
32,120687.27,8.4748775e-05,0.50123465,120722.14,244.92725,442.7709,0.07466301,58.548508
33,120675.805,0.00026861063,0.5087152,120761.02,243.08287,443.01193,0.07376138,54.0122
34,120681.96,0.00012041377,0.517883,120751.92,244.9086,445.63617,0.07471898,55.58231
35,120682.45,0.00022845376,0.5222675,120727.76,244.76894,442.46378,0.07454533,52.79039
36,120699.29,-4.9887458e-05,0.51866037,120777.7,241.04427,435.09537,0.0727107,59.295364
37,120676.46,0.00018733004,0.5212108,120764.984,243.93463,435.94366,0.07413801,52.580853
38,120674.055,0.00014778231,0.535778,120725.586,244.08572,452.14325,0.074156895,63.87736
39,120663.04,2.891696e-05,0.5368082,120756.26,246.90704,448.8772,0.07545524,56.79106
40,120663.94,4.232768e-06,0.5321265,120710.69,245.93402,451.25946,0.073113285,72.36851
41,120635.75,0.00024411902,0.54345936,120698.17,245.04979,444.57208,0.07294694,66.52951
42,120629.85,0.00022219606,0.5555114,120699.49,245.0117,441.03354,0.07343698,80.612785
43,120653.68,-0.00010935248,0.5631525,120715.836,246.46793,453.134,0.07463898,83.25242
44,120625.52,0.00018530097,0.55641794,120739.21,249.05913,466.37912,0.07529113,92.29097
45,120642.35,9.0893824e-05,0.5583553,120703.2,245.6699,456.08737,0.07359953,86.7073
46,120632.98,-3.8532144e-05,0.5545644,120695.89,247.7944,450.7249,0.073748514,92.42522
47,120616.12,0.00015839809,0.56920743,120704.6,244.48413,446.77612,0.073554516,82.327614
48,120606.21,0.0001942343,0.563484,120711.875,249.32486,458.59396,0.07569518,91.5803
49,120617.77,-0.00023787124,0.5621256,120704.91,248.2319,483.6661,0.07497428,113.2152
