Epoch,Train Loss,Train Grad,Train Grad Var,Val Loss,FID_inf,MIFID_inf,KID_inf,IS_inf
0,26369.457,-0.0005580581,0.16171105,26203.918,510.11786,1649.414,0.16639885,370.2715
1,26004.676,0.00046055042,0.05718143,25850.156,506.48093,1633.8809,0.1699035,89.41394
2,25863.232,0.0002616609,0.04573504,25856.598,482.20834,1329.6229,0.15314683,119.64273
3,25832.344,2.491083e-05,0.03997143,25797.68,466.5231,1347.986,0.1294483,14333.895
4,25830.088,3.1538122e-05,0.035591755,25804.764,463.5488,1227.8795,0.12333913,110112.06
5,25795.428,4.978648e-05,0.034718025,25766.338,462.59406,1205.0077,0.12172609,214049.36
6,25777.062,6.6179105e-05,0.033355746,25767.25,455.7372,1174.6069,0.11661198,256128.75
7,25781.484,-1.8281002e-05,0.032360177,25754.992,453.24478,1216.2952,0.10476913,2563612.8
8,25773.219,-1.5524403e-05,0.032226432,25769.113,454.56104,1173.856,0.10972128,702948.0
9,25788.191,-1.2599921e-05,0.032846373,25763.9,446.31674,1314.5736,0.09655571,24424178.0
10,25806.295,-1.0456075e-05,0.032185346,25810.99,452.84988,1174.0918,0.09735847,42639504.0
11,25806.016,-4.1574163e-05,0.032010384,25805.46,447.78546,1242.4493,0.09360067,164599740.0
12,25779.338,-6.419239e-05,0.031544376,25772.035,446.45532,1153.2944,0.09017064,591736100.0
13,25782.75,-0.00012868112,0.03126807,25769.043,448.982,1188.8018,0.08649797,5645716000.0
14,25799.781,1.0569813e-06,0.0323684,25815.26,446.1167,1144.9901,0.08710153,1444672000.0
15,25816.873,-0.00012823002,0.032614615,25816.57,446.48788,1165.192,0.08481295,3047621600.0
16,25833.412,-1.7324439e-05,0.032034438,25882.318,447.15765,1159.4551,0.09396782,727400060.0
17,25832.584,-0.00013477412,0.03157833,25809.139,441.20868,1150.5526,0.08124308,10086179000.0
18,25836.406,9.436696e-06,0.031932306,25854.023,448.99326,1150.2048,0.08979903,792135200.0
19,25840.705,-9.973985e-05,0.032349072,25824.031,444.6472,1169.8746,0.08031499,39990640000.0
20,25842.85,-6.697581e-05,0.032364856,25814.807,447.68988,1184.2334,0.08762418,9289795000.0
21,25843.95,1.5666855e-06,0.032879084,25833.62,445.9864,1146.659,0.09107333,10889040000.0
22,25836.504,8.850993e-06,0.03333776,25863.605,453.69156,1215.4436,0.10047289,1154813000.0
23,25848.36,-0.00010115176,0.033843737,25822.58,448.5831,1155.8079,0.09176973,27415669000.0
24,25817.162,5.145819e-05,0.033632293,25852.105,456.10236,1205.2506,0.09808093,12876179000.0
25,25811.598,-2.6525948e-05,0.033367917,25824.209,447.43317,1164.5613,0.087069616,43949076000.0
26,25813.822,-8.087408e-05,0.032630738,25811.564,450.05444,1199.5818,0.08593483,323078230000.0
27,25806.238,-1.603281e-05,0.03316315,25799.94,449.80588,1157.6223,0.09422854,74304920000.0
28,25811.318,-2.9372919e-05,0.033724856,25819.242,454.65985,1196.3575,0.09541673,83626900000.0
29,25810.771,-0.00011418995,0.034842055,25841.01,455.4831,1213.4099,0.09474491,207539900000.0
30,25826.191,8.5811436e-05,0.034638125,25840.752,452.4936,1131.9651,0.08871217,297720870000.0
31,25831.545,-4.0355797e-05,0.035347994,25824.445,452.86572,1227.6407,0.08640639,600858600000.0
32,25835.48,-5.8850204e-05,0.034464043,25842.88,451.08386,1243.4015,0.088445984,2020584800000.0
33,25823.412,2.5771442e-06,0.035197187,25858.139,458.37415,1265.1614,0.09527934,139681500000.0
34,25829.355,3.844988e-05,0.03560216,25864.396,457.76547,1201.5165,0.09919136,252956740000.0
35,25832.896,-0.00010119169,0.03609021,25850.525,457.5086,1229.4321,0.0944674,1255885000000.0
36,25844.37,3.63761e-05,0.03657141,25849.932,453.91537,1196.6525,0.084892176,53128830000000.0
37,25825.36,-2.1293066e-05,0.036297224,25827.584,455.62863,1198.8636,0.089254,26400772000000.0
38,25816.78,-2.991521e-05,0.036081243,25823.01,455.5453,1211.5026,0.09111135,22656200000000.0
39,25814.75,1.4578377e-05,0.03617805,25819.787,452.9138,1248.026,0.0883444,37474110000000.0
40,25817.193,2.4822923e-05,0.037281048,25849.363,457.2806,1204.2137,0.094336726,2394256600000.0
41,25818.625,-5.9313374e-05,0.036003828,25808.447,456.02783,1249.1669,0.08894771,4337997700000.0
42,25805.656,2.2287784e-05,0.037189115,25805.639,457.00925,1228.5502,0.08388646,183226290000000.0
43,25820.818,-1.00164325e-05,0.037824962,25816.982,459.09494,1235.2179,0.08637964,93567775000000.0
44,25818.943,-5.354751e-05,0.03777002,25812.893,459.09134,1329.7739,0.09106261,23415352000000.0
45,25836.363,9.502295e-05,0.03773093,25846.547,461.1913,1243.7577,0.10314253,337859840000.0
46,25821.969,-3.2782173e-05,0.037837125,25811.062,451.08188,1358.6348,0.08954345,12100689000000.0
47,25806.562,-7.980248e-06,0.03751674,25818.553,458.87936,1192.2784,0.08594491,276985460000000.0
48,25824.701,-6.738809e-05,0.038513977,25850.578,457.2338,1293.7203,0.09156963,36893106000000.0
49,25828.31,4.521732e-05,0.038019203,25839.463,461.7488,1220.0627,0.093459554,13891930000000.0
