Epoch,Train Loss,Train Grad,Train Grad Var,Val Loss,FID_inf,MIFID_inf,KID_inf,IS_inf
0,25475.143,-0.00091532647,0.16070564,25307.912,479.9477,1362.4454,0.07717817,1577971100000.0
1,25305.033,0.0002033196,0.040190596,25298.951,462.51407,1240.1163,0.05721152,1.0377633e+16
2,25296.031,-4.2611926e-05,0.024186108,25338.184,460.0142,1240.0208,0.063724406,14808273000000.0
3,25292.799,2.058223e-07,0.020577297,25295.584,454.8661,1207.2013,0.049591903,3.3457891e+18
4,25291.822,5.093831e-05,0.019296542,25291.938,456.9817,1303.5983,0.0510432,2.8578322e+19
5,25294.383,-7.553888e-06,0.016717836,25300.846,458.63913,1227.3635,0.04754302,3.3227285e+21
6,25295.799,5.30693e-05,0.016866053,25297.645,456.75128,1216.5684,0.04372604,7.0648136e+20
7,25303.06,5.4142278e-05,0.018291876,25306.545,457.4274,1179.0074,0.04245224,1.9645772e+23
8,25294.377,6.932221e-05,0.01577081,25306.834,454.2362,1172.0045,0.041178018,3.7137865e+22
9,25284.582,2.875151e-05,0.015448673,25301.203,456.5173,1213.4558,0.039141133,1.3389994e+22
10,25285.238,5.9385828e-05,0.015093417,25295.445,458.82733,1181.6538,0.03396793,3.394912e+24
11,25277.576,2.3001923e-05,0.014006294,25300.973,461.18817,1223.4374,0.033620853,1.3718975e+23
12,25278.713,3.5362944e-05,0.0176996,25307.953,465.03403,1195.0914,0.032254916,4.861993e+24
13,25286.639,4.8405316e-05,0.019536933,25304.04,459.73157,1192.3522,0.0351694,9.67228e+24
14,25275.125,3.985197e-05,0.017709801,25298.812,466.2536,1197.7063,0.031340268,1.03804005e+27
15,25270.328,1.3869004e-05,0.018619992,25294.889,461.8515,1208.4253,0.03377616,1.5916291e+25
16,25264.348,2.7454036e-05,0.017593488,25299.385,464.20715,1234.5887,0.03129664,1.0478566e+25
17,25265.38,2.6777698e-05,0.018368836,25304.158,467.53604,1234.5105,0.030858563,8.0530956e+24
18,25264.94,1.0864936e-05,0.018604392,25299.645,465.7169,1274.6404,0.03299515,4.7174108e+25
19,25265.627,2.1028993e-05,0.020057116,25297.885,464.49243,1230.0175,0.032688513,2.4111326e+25
20,25257.705,2.5542167e-06,0.01899791,25303.018,465.377,1175.2174,0.03282256,2.5845037e+25
21,25256.201,-2.8235606e-06,0.020291934,25305.053,461.93774,1206.6986,0.03292285,1.5405612e+24
22,25255.613,3.2445227e-05,0.020150395,25303.695,462.41602,1185.068,0.034112234,3.1387746e+24
23,25249.78,2.5077024e-05,0.020227043,25295.783,460.37537,1216.8405,0.036380168,2.1569504e+24
24,25247.982,2.390125e-05,0.021058176,25303.717,460.6014,1214.2645,0.035921544,5.5105418e+23
25,25243.213,-1.4020674e-05,0.021171838,25298.654,459.3187,1215.2015,0.034899216,3.4954757e+23
26,25240.572,4.3998e-05,0.021654738,25295.123,462.04544,1258.7555,0.034491584,4.6666065e+23
27,25238.447,7.478697e-06,0.021175113,25295.479,461.84247,1225.997,0.03515484,3.312331e+24
28,25237.42,1.3553182e-05,0.02102217,25293.807,462.708,1224.343,0.033271912,6.525669e+23
29,25236.602,1.39166705e-05,0.022031933,25300.117,463.73102,1333.3923,0.03618514,6.189358e+23
30,25236.135,8.751636e-06,0.021689214,25295.102,458.9312,1204.7188,0.03603194,7.670509e+23
31,25234.99,3.053975e-05,0.02238654,25291.545,462.59888,1229.1753,0.036415234,3.228852e+24
32,25232.36,9.830498e-08,0.023271184,25304.701,461.3348,1302.9722,0.03729287,2.8331677e+23
33,25234.357,2.7898654e-05,0.02308498,25300.75,457.87488,1256.9039,0.037368,9.5002705e+22
34,25231.252,2.2881555e-05,0.023333514,25297.428,460.59805,1244.9176,0.038477506,2.0949719e+22
35,25229.959,-2.0157373e-05,0.022750605,25295.664,463.24695,1238.0404,0.038107503,1.2884654e+24
36,25229.824,2.5207469e-06,0.02253621,25296.8,461.34906,1204.5227,0.037910555,1.4302161e+23
37,25229.734,1.2981727e-05,0.02283789,25303.139,457.98495,1230.5879,0.040308945,1.966232e+22
38,25228.887,1.5358493e-05,0.022642022,25296.162,464.73676,1235.1774,0.037996713,3.9225245e+22
39,25228.012,-5.5718124e-07,0.022291983,25298.031,460.49835,1289.4769,0.038626302,9.999936e+21
40,25228.66,2.9723795e-05,0.022716617,25298.387,460.307,1222.694,0.039941967,1.3261885e+22
41,25230.373,2.4225998e-05,0.023262218,25301.303,458.37833,1247.7762,0.039540548,2.41772e+22
42,25227.355,-5.667482e-06,0.02349972,25296.406,458.093,1247.0197,0.04099791,1.4575185e+22
43,25226.58,2.4710534e-05,0.02287499,25298.54,459.53665,1226.9291,0.04185025,9.03094e+22
44,25227.275,-1.7118256e-05,0.022849374,25298.34,459.2322,1236.6178,0.039006308,3.2138594e+22
45,25227.633,4.681084e-05,0.023357155,25299.373,460.91495,1235.4873,0.040786184,2.173807e+22
46,25226.73,-2.435265e-05,0.0246311,25300.262,459.52255,1226.5702,0.042063795,5.096425e+22
47,25225.117,-1.3876172e-05,0.023640253,25298.332,462.75214,1253.1718,0.041594632,1.2225097e+22
48,25223.752,4.6797802e-05,0.02297755,25296.727,461.9375,1230.2634,0.04324621,1.7465538e+22
49,25224.562,-6.393588e-06,0.022915043,25299.326,458.32047,1219.5648,0.040929962,3.8263185e+21
