Epoch,Train Loss,Train Grad,Train Grad Var,Val Loss,FID_inf,MIFID_inf,KID_inf,IS_inf
0,123283.02,-0.0077100457,5.313381,122292.92,316.0241,817.9219,0.12580398,475.7009
1,122485.336,0.009888569,4.4236298,122321.734,294.51257,788.2391,0.10484059,662.60394
2,122054.52,-0.0006804661,1.1851549,121669.53,281.7362,630.033,0.09971394,236.72203
3,121663.35,0.00060817844,1.0043871,121417.164,274.8347,604.8909,0.096387826,256.80957
4,121463.58,0.00023008324,0.99190617,121380.57,274.94333,623.4192,0.09549222,161.74562
5,121395.25,0.0006839473,0.8950001,121335.2,269.74625,568.0581,0.0912668,158.29059
6,121376.56,0.00068148825,0.90434724,121271.51,270.75287,592.73145,0.09036324,229.15338
7,121358.27,0.00060267246,0.8928448,121281.04,264.04297,539.32874,0.08670262,176.90152
8,121329.5,5.4378528e-05,0.8319268,121252.625,262.391,529.6329,0.08554288,131.52338
9,121317.305,0.00066458154,0.807953,121299.67,258.8595,511.79483,0.08410661,100.7261
10,121311.35,0.000629789,0.8009411,121237.625,260.71622,528.95715,0.08490013,113.40802
11,121317.58,0.0002870081,0.7907545,121270.01,262.93875,517.1264,0.087198764,88.81287
12,121283.625,7.0858005e-05,0.7606775,121284.92,261.86237,515.1337,0.0853369,99.06931
13,121321.14,0.00044098237,0.7597336,121209.73,253.37988,501.41138,0.0790505,103.13698
14,121296.1,0.00034983028,0.76173854,121270.01,256.80447,519.69745,0.08046885,94.62674
15,121276.45,0.00016430896,0.75274223,121211.57,253.17506,502.95386,0.0787,102.60811
16,121271.64,0.00029832387,0.7540309,121203.89,254.99606,490.004,0.080332346,96.62585
17,121236.08,0.00040506647,0.74689215,121214.26,250.82281,483.97803,0.07837342,99.01388
18,121242.98,0.0001746269,0.738173,121192.04,248.25346,479.98743,0.07681187,94.57626
19,121231.43,0.00041873052,0.7559597,121289.0,251.45755,494.4376,0.07838223,89.549515
20,121239.58,5.3384992e-05,0.74069035,121245.44,250.7421,484.49197,0.078295596,88.631516
21,121243.06,0.00019933247,0.75744253,121307.77,249.92303,469.7234,0.078044064,77.128265
22,121254.7,0.00037958412,0.74460834,121275.414,252.90605,473.06354,0.078685395,70.91135
23,121229.75,-0.00023185334,0.74263173,121219.02,246.19296,456.42468,0.07540082,75.59758
24,121198.2,0.00023828485,0.73202604,121231.95,245.3324,457.51602,0.075397596,83.43065
25,121213.62,0.0001403382,0.7382541,121203.05,250.59688,478.19836,0.0779391,75.03571
26,121197.086,0.00017171694,0.7442998,121234.24,247.09305,466.02832,0.075621255,70.98282
27,121192.1,0.00022053513,0.73976296,121180.336,246.6714,463.56003,0.07538174,71.55614
28,121218.81,4.217308e-05,0.7548238,121211.51,249.59674,461.16516,0.076098874,76.35655
29,121187.68,3.591925e-06,0.7498906,121234.69,248.79277,460.47006,0.0762788,77.07143
30,121194.875,0.0001758803,0.75501364,121247.69,250.85323,471.4407,0.07712242,88.84716
31,121190.56,0.00018670694,0.7431756,121243.266,248.36792,461.90582,0.07572597,100.1732
32,121150.125,-1.76569e-05,0.75185627,121186.805,251.02046,474.15466,0.07550403,106.07225
33,121148.18,5.5900124e-05,0.74865764,121172.02,247.35863,457.52924,0.074846365,85.60879
34,121131.06,0.00016208865,0.74535817,121152.52,245.3426,462.49203,0.073511936,108.24008
35,121135.586,0.00018837643,0.73581,121193.55,248.00565,465.4908,0.07475427,112.40523
36,121124.71,1.3665995e-05,0.7539076,121192.94,246.51205,462.65454,0.073413216,140.76439
37,121143.836,0.00023852252,0.767058,121191.83,245.28276,459.28894,0.07191531,152.001
38,121146.31,0.00016548003,0.76446927,121167.7,246.38332,464.7628,0.07318949,132.35379
39,121119.87,0.00030050604,0.7650787,121224.32,250.20915,470.54352,0.075100094,92.36432
40,121137.555,-3.6982306e-05,0.7693297,121205.266,246.09692,463.83572,0.07304059,120.85928
41,121166.375,2.636388e-06,0.76076883,121220.984,248.3095,462.34827,0.07378271,129.72478
42,121156.375,0.0005772007,0.7910289,121185.07,247.0903,462.88608,0.07357083,98.19176
43,121136.664,-0.00021043273,0.78868836,121175.99,246.2044,464.79752,0.07434399,107.89898
44,121102.58,0.00016143429,0.7722315,121149.29,248.60571,466.0829,0.07558952,104.92409
45,121121.52,8.8193454e-05,0.79650545,121193.586,249.12216,460.9913,0.07419535,117.66706
46,121080.15,5.7355315e-05,0.7902207,121099.45,249.33838,467.36816,0.07408678,132.62354
47,121080.58,0.0002116398,0.7980603,121143.04,250.13942,473.10623,0.07593556,103.36033
48,121067.7,5.8555975e-06,0.7962099,121112.41,250.80336,479.3416,0.07516226,142.7368
49,121050.875,0.00010104496,0.7817063,121133.23,250.99338,463.9747,0.07728063,107.91178
