Epoch,Train Loss,Train Grad Var,Val Loss,Val Grad Var,FID_inf,MIFID_inf,KID_inf,IS_inf
0,536355.75,133.97931,63288.906,2.0447528,501.98148,1602.596,0.15643089,211122500000000.0
1,308215.47,10.839188,57244.98,1.41966,493.02255,1797.373,0.13921067,1581528800000000.0
2,276894.44,8.179766,55181.457,1.5917072,474.57162,1521.3165,0.11956923,3.148208e+16
3,267515.06,8.552471,51988.54,1.3231694,444.11432,1327.2014,0.10180961,1.8639997e+16
4,265241.62,8.275585,50300.633,1.0556457,386.20334,1235.8141,0.079716496,17941318000000.0
5,248754.81,6.100829,48752.562,1.1161959,338.95273,1049.8892,0.050531294,1872716600000.0
6,243283.19,5.497869,50874.344,1.2201579,397.38907,1185.343,0.076232955,565480300000000.0
7,242752.36,6.2235727,49663.965,1.1686914,394.602,1149.0272,0.07829203,189076700000000.0
8,241562.22,5.698961,48949.094,1.1974113,395.14,1143.5586,0.074550316,436894840000000.0
9,272597.12,33.919754,49684.543,0.79922736,354.22614,967.49835,0.054864727,13141406000000.0
10,240546.42,3.8470972,50398.594,1.5446991,397.8627,1110.7317,0.079011925,320189580000000.0
11,239572.23,4.498639,49787.203,1.2860038,375.49338,1076.9275,0.066172734,96647100000000.0
12,239756.03,4.6599493,49135.25,0.93235016,377.2402,1073.1959,0.06538081,343128120000000.0
13,235890.44,3.9923153,50239.484,1.2152817,368.46725,1067.2737,0.06296671,95896840000000.0
14,243413.0,7.5917196,48610.582,0.84630156,373.70535,982.1917,0.06483344,267703550000000.0
15,236737.66,6.084662,51210.69,1.1148255,362.28436,1031.0238,0.05919637,63828000000000.0
16,228354.83,3.6257286,46444.938,0.5548802,346.10855,906.9437,0.05217696,36306483000000.0
17,218868.4,2.9012933,46213.184,0.5658,350.62024,991.532,0.05330084,126817270000000.0
18,215493.94,2.8093328,46577.35,0.6270541,344.90952,879.58264,0.050555754,50849310000000.0
19,216054.16,3.1902137,46627.44,0.7120352,359.46994,965.4827,0.053775292,218849170000000.0
20,213387.52,3.0893443,47465.125,0.8150387,346.89343,902.4132,0.048939224,256967640000000.0
21,212359.5,3.1527956,46129.234,0.66194665,345.6882,913.5708,0.04880778,94615185000000.0
22,210076.61,3.098555,46643.93,0.78580683,353.13443,966.31006,0.052778326,228220620000000.0
23,208988.16,3.2130897,47096.125,0.7107544,354.65146,924.336,0.050614707,550465830000000.0
24,208315.47,3.283911,47110.812,0.8254633,349.20844,943.4364,0.050142467,188713260000000.0
25,206865.25,3.4015124,47657.004,0.98062515,357.4158,942.9552,0.05157068,534272620000000.0
26,206754.34,3.6615095,47174.35,0.77749,358.2931,918.2121,0.053610735,837971400000000.0
27,205681.16,3.5129285,47915.28,0.97215354,368.30582,960.7924,0.055043634,2150266500000000.0
28,208319.0,3.9699728,48532.848,1.010248,353.5764,957.28253,0.052805346,249537730000000.0
29,207988.8,3.9272108,48764.96,0.9799569,348.12573,1027.7017,0.05191019,33323689000000.0
30,205438.03,3.6399627,48946.445,1.0537794,366.02448,968.8933,0.05505769,768223200000000.0
31,203312.77,3.5810306,49503.938,1.1312482,339.91592,878.986,0.047971908,25949788000000.0
32,201818.84,3.5929375,48405.68,0.9925415,354.53275,970.6461,0.05262849,162195430000000.0
33,200201.88,3.623405,48613.707,1.0856282,344.21277,967.4488,0.04700367,145357130000000.0
34,196912.34,3.360494,48432.25,0.9779139,348.43845,952.06793,0.050784126,102199640000000.0
35,195043.75,3.4378154,48617.758,1.1519859,350.35458,896.3519,0.051199004,92718630000000.0
36,194723.84,3.4735718,48760.945,1.0540192,343.7195,868.84283,0.047513194,69533977000000.0
37,193650.4,3.5877192,49040.78,1.0190134,344.59268,872.0402,0.049249668,83031885000000.0
38,193310.66,3.6158078,49524.117,1.2644649,350.47348,877.1917,0.049620893,130877970000000.0
39,191631.6,3.6465278,49316.492,1.1118236,349.30753,938.3967,0.048413318,104526065000000.0
40,191180.88,3.6195273,49275.22,1.1052139,344.72662,866.788,0.0485426,59911665000000.0
41,191564.33,3.7514472,49964.17,1.270968,345.76764,915.54346,0.04929698,71262280000000.0
42,190021.62,3.717621,49373.0,1.2003345,346.8577,890.8945,0.048402064,156069850000000.0
43,188992.34,3.7896142,49684.42,1.2497389,350.4813,1014.0563,0.048429012,163339940000000.0
44,187513.61,3.9064517,49462.195,1.2044985,350.88385,953.0955,0.05025494,158465470000000.0
45,186344.78,3.952199,49767.758,1.3929462,343.21182,879.3775,0.047423236,69873934000000.0
46,186715.62,4.0620794,50283.773,1.4182453,347.49454,908.4993,0.048117984,142522530000000.0
47,184429.92,3.9408243,50324.1,1.3939651,349.16385,891.2347,0.049785025,119574690000000.0
48,184342.17,4.10921,50968.625,1.557158,345.68613,891.184,0.047910783,124773210000000.0
49,183376.38,4.1640778,51175.6,1.6782632,341.6286,866.46515,0.047799345,24587760000000.0
50,181896.0,4.053751,50804.656,1.5478022,348.066,974.74786,0.051266104,56468074000000.0
51,181164.78,4.153723,50501.91,1.4637198,345.7591,884.3072,0.049203876,66824840000000.0
52,180004.25,4.1138353,50885.19,1.4883738,344.29962,853.5812,0.048798822,41509070000000.0
53,179565.69,4.305911,51113.9,1.6000971,342.06702,908.2285,0.04719294,63577420000000.0
54,177787.86,4.2907495,50789.156,1.6064728,337.88498,871.572,0.04636133,44856223000000.0
55,176374.12,4.27055,50881.05,1.6241171,343.86145,875.2265,0.047789097,74914090000000.0
56,176795.97,4.341775,51151.28,1.6865809,340.89236,897.48975,0.047190893,47739715000000.0
57,175966.6,4.3414783,51426.223,1.7783259,347.16315,881.8464,0.048149396,93444510000000.0
58,174752.38,4.382306,51294.453,1.79246,336.17145,876.9725,0.046568204,14139149000000.0
59,174687.36,4.48853,51663.562,1.8373073,345.716,882.2835,0.04918378,74009470000000.0
60,174709.5,4.535463,51695.3,1.8709891,342.50162,858.0579,0.047666732,49313370000000.0
61,174582.45,4.463036,52143.992,1.9573996,340.0778,877.9531,0.048813377,54276270000000.0
62,173555.22,4.6267967,51779.96,2.0122428,344.47626,887.67926,0.04740494,92335890000000.0
63,173155.84,4.634131,52224.445,1.9048495,333.27005,854.9343,0.046040177,16455072000000.0
64,173843.72,4.707154,52970.023,2.1768832,338.9874,896.1419,0.047797225,32777469000000.0
65,173172.61,4.7488513,52652.93,2.1141815,339.72913,948.6614,0.04648958,29132417000000.0
66,172193.6,4.9112434,52924.54,2.0954313,344.29938,881.11847,0.048492283,68555180000000.0
67,171496.47,5.1755285,52234.85,2.1330442,342.38596,930.39795,0.04527083,82369840000000.0
68,170721.36,5.0105133,52289.61,2.0666428,335.136,829.22736,0.045304727,14746144000000.0
69,169865.22,5.051202,52830.8,2.2756462,337.2803,961.8347,0.04603294,20872232000000.0
70,169122.55,4.9158936,52624.016,2.1594183,333.74753,904.19135,0.04460276,16677008000000.0
71,168615.44,4.937279,52792.312,2.1672387,332.62067,832.9471,0.045360032,15980719000000.0
72,168083.5,4.967517,52601.555,2.3042493,333.222,839.63055,0.044088148,19174361000000.0
73,167772.1,5.091012,52788.758,2.2323751,338.67203,844.07056,0.046909582,31996082000000.0
74,167576.1,5.1397257,53189.703,2.4334028,335.6113,875.71063,0.0466575,22561952000000.0
75,167597.44,5.122941,53011.617,2.276849,338.15247,888.75073,0.04568455,39460155000000.0
76,166845.73,5.2000256,52904.727,2.5441265,339.24658,942.6271,0.04525398,46775350000000.0
77,166652.44,5.366213,53368.492,2.4657555,337.822,926.04236,0.04601867,52618310000000.0
78,166185.69,5.4264793,53187.133,2.4551566,339.2494,871.8787,0.047357395,36041663000000.0
79,165138.34,5.4872465,53329.438,2.4089868,338.4059,863.8199,0.045437813,36952812000000.0
80,164572.9,5.4031053,53263.125,2.6392586,335.20615,968.8686,0.044247765,38261066000000.0
81,163916.88,5.565545,53313.938,2.6356273,337.1157,862.0832,0.04494981,32323200000000.0
82,162957.69,5.314885,53340.754,2.5545976,337.10443,862.60187,0.045201715,17325297000000.0
83,162647.62,5.371548,53333.945,2.523991,336.61963,878.7939,0.046159733,21062528000000.0
84,162336.12,5.378368,53753.46,2.5962553,336.647,890.9657,0.04539838,31361134000000.0
85,162677.39,5.399968,53848.758,2.5203588,325.70422,821.52466,0.042532038,9235237000000.0
86,162250.28,5.598344,54267.438,2.9414916,338.428,979.0178,0.04525919,30665550000000.0
87,162052.06,5.6482573,53860.54,2.7986884,334.55045,867.3893,0.044621192,18500303000000.0
88,161749.25,5.7420692,54501.016,3.1986012,336.797,861.8704,0.04506361,41743900000000.0
89,161140.25,5.766097,54148.742,2.7882266,332.4012,888.3585,0.043678828,30783195000000.0
90,160613.52,5.9462986,54251.406,2.8268785,336.13467,920.2368,0.045232795,32326564000000.0
91,160684.3,5.792903,54794.61,3.0883627,331.8673,1035.1823,0.044353426,22935690000000.0
92,160703.75,5.8455496,54294.0,2.8216572,330.2368,857.20685,0.042521738,19458643000000.0
93,159447.47,5.844859,54769.42,3.1292088,330.8401,919.08624,0.04364741,18855750000000.0
94,158985.47,5.7194753,54150.164,2.8248975,331.2357,827.16876,0.043466706,22015214000000.0
95,158443.05,5.6532755,55135.875,3.4306145,334.0371,903.91614,0.044669364,22662655000000.0
96,158835.6,5.6818247,54761.797,2.9537692,329.65707,863.04156,0.043196794,15564227000000.0
97,158272.55,5.851786,54761.492,3.0757794,339.2562,889.1817,0.0465969,38614734000000.0
98,158205.5,5.87125,54660.496,3.0395408,332.39722,881.722,0.044197027,12299433000000.0
99,157603.06,5.921915,55216.895,3.3440142,338.27612,943.1373,0.046309464,23645311000000.0
