Epoch,Train Loss,Train Grad,Train Grad Var,Val Loss,FID_inf,MIFID_inf,KID_inf,IS_inf
0,119092.95,-0.011872739,5.453445,117421.836,363.81287,1184.9094,0.12998927,1092235.5
1,117154.23,0.0012870675,1.1518275,116860.266,374.65042,1173.526,0.10031708,4639120000.0
2,116876.06,0.00072721543,0.58489317,116847.95,344.0409,1014.47687,0.083010115,751724160.0
3,116818.4,0.0013475957,0.61722803,116789.33,300.5381,823.2976,0.0667755,9402700.0
4,116811.305,0.0027000462,0.70930105,116751.99,279.74875,721.1696,0.06276958,642101.9
5,116760.305,0.0006612148,0.5171084,116751.234,275.14447,666.5371,0.06352448,256679.0
6,116693.35,0.00023672749,0.30233628,116659.31,276.846,681.3587,0.061770625,620916.6
7,116664.46,0.001000977,0.36255035,116710.43,281.93503,729.0679,0.060008142,2666721.8
8,116737.68,0.0055582463,1.0091686,116837.805,343.13763,966.43805,0.09616894,39559324.0
9,116687.39,-0.0014448714,0.9255461,116726.336,273.15134,803.2329,0.05476251,1341082.2
10,116945.625,0.0018285925,1.4101145,116917.484,283.97824,699.36804,0.062161665,1624861.1
11,116847.52,-0.0015289221,0.6300988,116813.14,259.87662,608.6285,0.057954263,81175.74
12,116792.21,-0.0009777973,0.80703276,116752.94,258.21472,540.54114,0.061376415,35408.133
13,116757.21,0.00016873702,1.0443624,116732.17,265.83575,566.0574,0.06465679,96242.63
14,116736.516,0.00027409793,1.0797331,116805.55,253.94334,526.52155,0.059513707,18131.582
15,116708.45,0.001295495,1.2807692,116755.61,258.13147,563.06616,0.06517686,13413.833
16,116679.23,0.0004880159,1.0320021,116687.86,254.41516,605.18335,0.053188406,87646.97
17,116661.65,0.0010420863,1.0973927,116695.61,254.09796,565.2211,0.059536964,14598.719
18,116662.305,0.0005994206,1.0095515,116721.125,260.45837,594.4613,0.055266596,180749.47
19,116646.73,0.0009789696,1.028377,116656.05,254.61115,607.3313,0.051652152,91277.8
20,116601.81,0.0007036636,0.9116656,116608.29,255.37917,637.86786,0.04945574,156974.1
21,116558.87,0.00032482037,0.66675824,116586.28,278.2432,711.4393,0.04551023,43131612.0
22,116533.305,0.0005880301,0.575609,116551.17,268.81555,651.0917,0.04325644,20612612.0
23,116527.39,0.00017838702,0.5388455,116548.055,263.4282,643.552,0.04444153,7386841.5
24,116512.52,0.00041862638,0.50680393,116552.586,241.35138,577.8462,0.03797455,481417.1
25,116501.68,0.0004971875,0.5312061,116543.36,254.83748,628.9312,0.042715203,3087341.8
26,116479.1,6.100738e-05,0.33219048,116518.11,251.91986,555.4498,0.037215874,6793651.5
27,116465.33,-0.0001398791,0.32279286,116523.26,250.20511,580.2536,0.036749944,5934163.0
28,116458.06,8.731813e-05,0.31868044,116523.56,257.3044,605.9857,0.035640925,20659626.0
29,116453.74,-5.5888155e-05,0.319261,116522.484,259.4778,583.70667,0.035332315,52929690.0
30,116443.586,0.00017558468,0.33286214,116509.41,264.1748,595.3249,0.036776636,51361800.0
31,116442.625,5.809744e-05,0.32474342,116528.16,275.12158,643.46027,0.039423387,306745540.0
32,116439.375,7.439832e-05,0.35338864,116519.95,271.9946,635.96783,0.036730085,319899780.0
33,116429.19,7.206535e-05,0.36202365,116506.805,270.68048,628.03503,0.037143942,165464270.0
34,116428.875,1.8535637e-05,0.38767314,116515.586,273.23486,653.81525,0.038627572,202096100.0
35,116425.19,-5.588811e-05,0.4023497,116523.766,267.47363,594.33124,0.039390136,89720660.0
36,116422.15,2.5513513e-05,0.41156536,116532.12,262.52713,560.9901,0.035752557,56558868.0
37,116415.7,-0.00013690766,0.42338315,116516.54,270.10413,583.712,0.039495025,94007630.0
38,116409.45,8.480274e-06,0.41641244,116535.53,269.44214,585.88495,0.042080387,58827990.0
39,116399.4,-0.00020102263,0.43811426,116517.49,270.13266,581.4984,0.04068681,185342100.0
40,116390.086,5.9239243e-05,0.45962936,116507.37,260.79962,585.87317,0.03628095,67701100.0
41,116385.875,-7.7988916e-05,0.46950102,116501.67,264.18216,587.1418,0.0394118,56233570.0
42,116378.94,0.00013009878,0.4615871,116496.7,259.38293,558.0957,0.03309037,55198204.0
43,116368.7,0.00016111557,0.47218648,116503.3,260.434,589.19244,0.035669867,59771950.0
44,116357.805,1.4319225e-05,0.45316005,116491.58,265.42386,608.4733,0.038517896,74963260.0
45,116353.75,0.0003939486,0.45835018,116498.77,269.13214,609.83905,0.037443317,216106990.0
46,116349.19,9.881893e-05,0.46791148,116507.875,264.705,608.91693,0.03632637,81128570.0
47,116341.24,0.00028331057,0.45589358,116516.73,261.36862,564.4388,0.035662368,57705910.0
48,116334.98,5.43206e-05,0.45256758,116498.27,258.49963,566.77655,0.03568776,46058220.0
49,116326.766,0.00028558588,0.44305944,116495.86,265.7872,618.6252,0.03640799,92596900.0
