Epoch,Train Loss,Train Grad,Train Grad Var,Val Loss,FID_inf,MIFID_inf,KID_inf,IS_inf
0,24913.818,-0.0017517891,0.11290324,24826.773,305.04822,832.3038,0.087536335,54260.48
1,24786.568,7.588733e-05,0.00688553,24841.656,293.36862,778.03613,0.076708354,119377.33
2,24776.55,7.2073846e-05,0.005333043,24827.492,285.73523,784.36975,0.07091868,111635.09
3,24771.41,5.0110644e-05,0.00513253,24822.15,279.6946,751.866,0.06844646,77784.1
4,24773.537,2.4460222e-05,0.0047591333,24834.822,281.21713,737.50366,0.07468594,31132.84
5,24777.438,-1.087964e-05,0.0046775383,24829.494,275.92142,773.9741,0.07174025,26786.738
6,24778.734,2.02943e-05,0.0045127966,24820.86,272.61713,754.91534,0.072222866,15080.3545
7,24778.14,2.7330849e-05,0.0043998235,24823.357,279.0717,762.1869,0.07681845,11650.426
8,24781.385,3.2486972e-05,0.0044371015,24809.018,278.40018,780.3264,0.075635076,16454.531
9,24774.771,3.495076e-05,0.0043458412,24833.098,278.01413,802.006,0.074084245,16259.41
10,24795.133,4.2379685e-05,0.004346696,24836.998,275.12952,744.9177,0.0723567,17291.17
11,24793.525,3.3166474e-05,0.0043692477,24825.943,276.8177,792.36285,0.074756905,12537.424
12,24784.9,3.3598353e-05,0.004411321,24828.004,274.9965,758.66675,0.07222824,15867.807
13,24790.525,4.6884463e-05,0.004341452,24832.758,274.0393,768.18005,0.07225431,13320.648
14,24788.707,1.21413295e-05,0.00452643,24838.365,274.77188,755.636,0.07352264,10904.651
15,24791.805,1.905154e-05,0.0042554257,24829.418,276.63748,785.0115,0.07847394,7731.7227
16,24797.098,6.947573e-06,0.0043556,24832.477,275.54352,753.58105,0.07560671,9366.443
17,24789.65,3.0780993e-05,0.0043346616,24832.219,277.6883,863.2789,0.0740455,14754.625
18,24792.225,9.752827e-06,0.004516279,24820.396,278.91077,786.62537,0.07428583,13149.649
19,24786.031,5.5792016e-06,0.004152269,24805.31,274.89224,774.9237,0.074710794,12658.739
20,24796.248,5.1496172e-05,0.004343877,24839.69,270.85495,754.0384,0.06880843,18580.678
21,24795.96,-7.1923423e-06,0.0042929137,24826.29,269.61246,742.4887,0.06527131,26214.018
22,24793.736,9.796233e-07,0.0042734346,24827.775,273.24884,758.4684,0.07169521,12112.367
23,24798.516,9.115722e-06,0.0045302333,24838.514,266.62613,711.01526,0.06381983,22709.705
24,24794.057,3.8228314e-05,0.004453902,24830.822,268.0944,727.9401,0.066126294,19634.498
25,24790.904,-1.0935779e-06,0.0043137665,24843.414,268.27145,704.60956,0.0609433,35425.05
26,24793.225,2.9356537e-05,0.0044508795,24832.486,266.41345,708.9315,0.058489818,51520.285
27,24787.234,2.1905973e-05,0.004658756,24828.572,266.61807,704.2615,0.06202648,35121.438
28,24793.432,-2.6029113e-06,0.004579725,24843.393,265.46378,715.08545,0.06001476,35550.105
29,24800.225,6.197447e-05,0.0045607234,24843.492,264.27576,742.4898,0.05662016,93294.0
30,24802.807,1.7523178e-05,0.0045688287,24845.025,261.7454,708.55347,0.05545028,86410.38
31,24813.49,2.8845567e-05,0.004778796,24855.355,264.72223,712.3334,0.054959256,82843.23
32,24812.457,3.5066758e-05,0.00477237,24861.51,261.99597,699.0573,0.053450573,127684.61
33,24806.578,1.2151663e-05,0.004823868,24837.055,260.40094,686.95026,0.05141535,186133.55
34,24802.938,2.7015483e-05,0.004816615,24829.963,259.02374,680.6212,0.052677512,88183.12
35,24791.76,3.0147861e-05,0.004699663,24845.492,260.13123,695.71387,0.049653113,187003.28
36,24809.746,1.8145895e-05,0.0049300636,24840.084,261.1772,681.37445,0.050761923,141951.14
37,24804.34,2.4794455e-05,0.004881059,24863.77,258.21283,666.07324,0.051900443,158209.64
38,24805.611,2.2313221e-05,0.0051087253,24852.164,260.43375,680.6541,0.05170348,141518.88
39,24811.705,2.6067999e-05,0.005109357,24879.031,257.1454,643.0801,0.049181387,159367.23
40,24816.672,4.494618e-05,0.0050255465,24871.666,260.1588,668.5536,0.048438214,277635.38
41,24818.887,6.1385335e-06,0.005202488,24843.31,261.5697,691.35016,0.04793484,336024.72
42,24823.107,1.9851559e-05,0.005193967,24864.93,257.7899,696.5837,0.04995509,167360.72
43,24827.812,2.5069463e-05,0.005283019,24871.8,260.21042,703.30273,0.049351018,176215.83
44,24834.826,5.2137133e-05,0.005337912,24905.842,259.95685,708.82733,0.048957113,199479.72
45,24835.447,1.5978085e-05,0.0054403325,24905.406,260.82437,677.72766,0.048507098,220084.56
46,24852.566,3.157838e-05,0.005499353,24931.158,261.5507,676.7635,0.050446603,164599.22
47,24859.062,3.599448e-05,0.005641501,24896.31,257.34042,654.73737,0.049108878,156115.3
48,24853.098,4.4254037e-05,0.0057305857,24900.186,255.91852,662.39154,0.049726374,125078.5
49,24854.426,6.81006e-05,0.0059409817,24863.406,255.54253,650.98035,0.04622792,263683.25
